isbn,title,author,year
0394895894,The Ruby in the Smoke,Philip Pullman,1985
0804139024,The Martian,Andy Weir,2012
1451681739,The Light Between Oceans,M.L. Stedman,2012
0375990674,Fallen in Love,Lauren Kate,2012
1416595163,Pursuit of Honor,Vince Flynn,2009
141659518X,American Assassin,Vince Flynn,2010
0679772677,A Civil Action,Jonathan Harr,1995
031632468X,Frog Music,Emma Donoghue,2014
1842322761,On the Beach,Nevil Shute,1957
0586217835,Magician,Raymond E. Feist,1982
0345388666,The Shining Ones,David Eddings,1993
0751504386,Skeleton Crew,Stephen King,1985
1595542779,Skin,Ted Dekker,2006
0505527847,Trouble in Mudbug,Jana Deleon,2009
1414334095,Her Daughter's Dream,Francine Rivers,2010
0399157441,Chasing Fire,Nora Roberts,2011
0670020559,The Magicians,Lev Grossman,2009
0446602213,"Morning, Noon & Night",Sidney Sheldon,1995
0345435168,Open House,Elizabeth Berg,2000
0345515633,Last to Die,Tess Gerritsen,2012
0451458923,Summer Knight,Jim Butcher,2002
0316204366,David and Goliath,Malcolm Gladwell,2011
067973225X,As I Lay Dying,William Faulkner,1930
0373210337,The Girl in the Steel Corset,Kady Cross,2011
0345460065,The Romanov Prophecy,Steve Berry,2004
0316002895,Max ,James Patterson,2009
0446556815,Sin Undone,Larissa Ione,2010
0061836923,Moonlight Mile ,Dennis Lehane,2010
0752860550,Sepulchre,Kate Mosse,2007
1849234752,Rock Chick Rescue,Kristen Ashley,2009
0446692654,Jack & Jill,James Patterson,1996
0062284835,Fracture Me,Tahereh Mafi,2013
0553376055,How I Live Now,Meg Rosoff,2004
0743223136,John Adams,David McCullough,2001
0312364083,Firefly Lane,Kristin Hannah,2008
0439023513,Mockingjay,Suzanne Collins,2010
0380815583,An Offer From a Gentleman,Julia Quinn,2001
0425067823,Elephants Can Remember,Agatha Christie,1972
0446545244,Angel,James Patterson,2011
0758216416,Succubus Blues,Richelle Mead,2007
031285787X,Necroscope ,Brian Lumley,1986
0316024643,Cross Country,James Patterson,2008
0142401447,The Pearls of Lutra,Brian Jacques,1996
1416549978,The Broken Window,Jeffery Deaver,2008
0413771164,The Truth,Terry Pratchett,2000
1842431021,Villa Incognito,Tom Robbins,2003
0552152161,Not Without My Daughter,Betty Mahmoody,1987
1439102414,Flash and Bones,Kathy Reichs,2011
0061985880,Endlessly,Kiersten White,2012
0140013083,The Chrysalids,John Wyndham,1955
0140558640,Rumpelstilzchen,Paul O. Zelinsky,1986
1620610078,Obsidian,Jennifer L. Armentrout,2011
1250077699,The Sound of Gravel,Ruth Wariner,2016
0060744871,The Pursuit of Happyness,Chris Gardner,2006
0385333900,Jailbird,Kurt Vonnegut Jr.,1979
0060513098,Falling Up,Shel Silverstein,1996
0446693804,A Walk to Remember,Nicholas Sparks,1999
1416975888,Clockwork Prince,Cassandra Clare,2011
1401322786,The Time Keeper,Mitch Albom,2012
0345347951,Childhood's End,Arthur C. Clarke,1953
0385735294,The Sorceress,Michael Scott,2009
0061020648,Guards! Guards!,Terry Pratchett,1989
006093316X,The Great and Secret Show,Clive Barker,1989
1936305623,Gabriel's Inferno,Sylvain Reynard,2011
0312939035,E Is for Evidence,Sue Grafton,1988
0765348802,Memories of Ice,Steven Erikson,2001
0399158820,Calculated in Death,J.D. Robb,2013
0060739428,"Catherine, Called Birdy",Karen Cushman,1994
0143417231,Can Love Happen Twice?,Ravinder Singh,2011
0385342020,Twenties Girl,Sophie Kinsella,2009
0446402400,The Secret Speech,Tom Rob Smith,2009
0345418417,The Ringworld Engineers ,Larry Niven,1979
1423134494,Bloody Valentine,Melissa de la Cruz,2010
0553805487,Garden Spells,Sarah Addison Allen,2007
0743281640,Chasing Darkness,Robert Crais,2008
0316037885,The Magician's Apprentice,Trudi Canavan,2009
0345487133,Earth Abides,George R. Stewart,1949
0316009857,Keeping You a Secret,Julie Anne Peters,2007
0812508440,The White Rose,Glen Cook,1985
034525855X,A Spell for Chameleon,Piers Anthony,1977
0553813145,Midnight Tides,Steven Erikson,2004
0786890754,"PS, I Love You",Cecelia Ahern,2003
0060598328,The Saving Graces,Patricia Gaffney,1999
0765343436,Daughter of the Forest,Juliet Marillier,1999
0515121843,Sea Swept,Nora Roberts,1998
0450040186,The Shining,Stephen King,1977
1568650949,Bloodline,Sidney Sheldon,1977
0060734000,Touching Spirit Bear,Ben Mikaelsen,1997
0770430074,Life of Pi,Yann Martel,2001
0385739141,Torment,Lauren Kate,2010
0385542070,Nutshell,Ian McEwan,2016
1423104870,The Wizard Heir,Cinda Williams Chima,2007
0692572031,Big Rock,Lauren Blakely,2016
0743422449,Mercy,Jodi Picoult,1996
0312364105,True Colors,Kristin Hannah,2009
2266120921,L.A. Requiem,Robert Crais,1999
0758290411,Seven Years to Sin,Sylvia Day,2011
0671729454,If There Be Thorns,V.C. Andrews,1981
0345503813,The Desert Spear,Peter V. Brett,2010
1101946342,Grey,E.L. James,2015
0553804804,Brother Odd,Dean Koontz,2006
044021145X,The Firm,John Grisham,1991
1416950079,Tricks,Ellen Hopkins,2009
0061284203,Into the Wild,Erin Hunter,2003
1597372552,The Never War,D.J. MacHale,2003
0061726834,Delirium,Lauren Oliver,2011
0886774268,Magic's Price,Mercedes Lackey,1990
8129115301,Two States,Chetan Bhagat,2009
0345418425,Footfall,"Larry Niven, Jerry Pournelle",1985
1596434465,Zita the Spacegirl,Ben Hatke,2011
0375706410,Waiting,Ha Jin,1999
1599906953,Throne of Glass,Sarah J. Maas,2012
0393065782,The Book of Negroes,Lawrence Hill,2007
0553805460,The Wolf of Wall Street,Jordan Belfort,2007
006053124X,It's In His Kiss,Julia Quinn,2005
0425189031,Portrait in Death,J.D. Robb,2003
0743253426,Islands in the Stream,Ernest Hemingway,1970
006124242X,Darke,"Angie Sage, Mark Zug",2011
0399150862,The Cove,Catherine Coulter,1996
1590385810,Fablehaven,Brandon Mull,2006
0743233492,Break No Bones,Kathy Reichs,2006
0307269760,Too Much Happiness,Alice Munro,2009
0425143325,Without Remorse,Tom Clancy,1993
0802734375,Wild Cards,Simone Elkeles,2013
0671027638,The Fuck-Up,Arthur Nersesian,1997
0345481291,Throne of Jade,Naomi Novik,2006
0440225442,One False Move,Harlan Coben,1998
0312933541,A Matter of Honor,Jeffrey Archer,1985
0312941919,Trunk Music,Michael Connelly,1997
1606841750,Monsters,Ilsa J. Bick,2011
0385743602,Calamity,Brandon Sanderson,2016
0060935499,Amadeus,Peter Shaffer,1979
0446610178,The Sky is Falling,Sidney Sheldon,2000
0671578855,A Civil Campaign,Lois McMaster Bujold,1999
0425267040,Rush,Maya Banks,2013
0316166294,The Brass Verdict,Michael Connelly,2008
1250019672,Ladies' Night ,Mary Kay Andrews,2013
0307341542,Sharp Objects,Gillian Flynn,2006
0440226708,The Incredible Journey,Sheila Burnford,1960
0312554192,Where We Belong,Emily Giffin,2012
1455536253,The Guilty,David Baldacci,2015
0804188246,Ruby,Cynthia Bond,2014
1439166641,Galveston,Nic Pizzolatto,2004
0515144665,The Pagan Stone,Nora Roberts,2008
0575075066,God Emperor of Dune,Frank Herbert,1981
0749934395,Seduction in Death,J.D. Robb,2001
1937248097,The Duchess War,Courtney Milan,2012
068987121X,"Over Sea, Under Stone",Susan Cooper,1965
0425267083,Burn,Maya Banks,2013
0812992792,The Orphan Master's Son,Adam Johnson,2012
0399162437,The Last Star,Rick Yancey,2016
0553582917,Intensity,Dean Koontz,1987
1416571736,Going Too Far,Jennifer Echols,2009
0062317148,The Guard,Kiera Cass,2014
0316097527,"Alex Cross, Run",James Patterson,2013
1599903385,Need,Carrie Jones,2008
0753510995,"Screw It, Let's Do It",Richard Branson,2006
076534629X,The Codex,Douglas Preston,2003
0062194720,The Revenge of Seven,Pittacus Lore,2014
0812966295,King Solomon's Mines,H. Rider Haggard,1885
0446694843,Good Grief,Lolly Winston,2004
1416951172,Extras,Scott Westerfeld,2006
0140042520,The Dharma Bums,Jack Kerouac,1958
0743231511,Life after God,Douglas Coupland,1994
0446613355,London Bridges,James Patterson,2004
0441010288,The Lost Years of Merlin,T.A. Barron,1996
0399162593,Fish In A Tree,Lynda Mullaly Hunt,2015
0752849190,Darkest Fear,Harlan Coben,1999
0142401102,A Long Way From Chicago,Richard Peck,1998
0345313151,Bearing an Hourglass,Piers Anthony,1984
1616149981,The Life We Bury,Allen Eskens,2014
0007191324,The Winter Rose,Jennifer Donnelly,2008
0399155015,Moscow Rules,Daniel Silva,2008
0441627404,The Once and Future King,T.H. White,1958
1933718552,Ashfall,Mike Mullin,2011
0140260706,Equus : a play,Peter Shaffer,1973
0099549344,Warm Bodies,Isaac Marion,2010
0140230270,Harvesting the Heart,Jodi Picoult,1993
0061138061,Pale Demon,Kim Harrison,2011
1416505016,Consent to Kill,Vince Flynn,2005
0803734964,I'll Give You the Sun,Jandy Nelson,2014
0552152951,Reaper Man,Terry Pratchett,1991
1439102724,Sing You Home,Jodi Picoult,2011
0312426232,The Brooklyn Follies,Paul Auster,2005
0061449121,Plague,Michael  Grant,2011
0765357054,The Keep ,F. Paul Wilson,1981
067001821X,People of the Book,Geraldine Brooks,2008
1250060559,Fairest,Marissa Meyer,2015
0061668060,Spells,Aprilynne Pike,2009
1414336241,The Auschwitz Escape,Joel C. Rosenberg,2014
0553589458,The Survivors Club,Lisa Gardner,2002
1594631573,The Vacationers,Emma Straub,2014
0061094145,Imajica,Clive Barker,1991
0446608815,Pop Goes the Weasel,James Patterson,1999
0142501107,Lord Brocktree,Brian Jacques,2000
0399161481,Suspect,Robert Crais,2013
042520992X,Whispers,Dean Koontz,1980
0679745580,In Cold Blood,Truman Capote,1965
1400033446,Tar Baby,Toni Morrison,1981
0141043768,What Alice Forgot,Liane Moriarty,2009
044657967X,Wild Fire,Nelson DeMille,2006
0312983220,Area 7,Matthew Reilly,2001
0345443284,While I Was Gone,Sue Miller,1998
0385352093,The Painter,Peter Heller,2014
0553392921,Fool's Quest,Robin Hobb,2015
0140086838,Ceremony,Leslie Marmon Silko,1977
0752876457,Black Order,James Rollins,2006
0786901640,Siege of Darkness,R.A. Salvatore,1993
0062235672,On the Fence,Kasie West,2014
0064472795,Princess in the Spotlight,Meg Cabot,2001
0399256776,Champion,Marie Lu,2013
0061692042,Canada,Richard Ford,2012
043933909X,Stone Soup,Jon J. Muth,2003
1442430001,Rebel Heart,Moira Young,2012
0307119394,I Was So Mad (Look-Look),Mercer Mayer,1983
0756403014,Dragon Prince,Melanie Rawn,1985
0395137195,The Bronze Bow,Elizabeth George Speare,1961
1595540342,Red,Ted Dekker,2004
1439191379,Miles to Go,Richard Paul Evans,2011
147679250X,After We Fell,Anna Todd,2014
0446699535,City of Bones,Michael Connelly,2002
0843955287,Dark Prince,Christine Feehan,1999
0316051594,Twenty Boy Summer,Sarah Ockler,2009
0316101842,Nevermore,James Patterson,2012
2266079999,Contact,Carl Sagan,1985
0340881542,Class A (Cherub #2),Robert Muchamore,2004
0553584502,The Taking,Dean Koontz,2004
1921351438,Dreams from My Father,Barack Obama,1995
1596912855,Austenland,Shannon Hale,2007
1554682746,Wondrous Strange,Lesley Livingston,2009
1416963960,White Cat,Holly Black,2010
0061583227,First Drop of Crimson,Jeaniene Frost,2010
1416532358,Ricochet,Sandra Brown,2006
0778324516,Back on Blossom Street,Debbie Macomber,2007
1565126297,When She Woke,Hillary Jordan,2011
0060182989,Mister B. Gone,Clive Barker,2007
0425099334,Shattered,"K.R. Dwyer, Dean Koontz",1973
0451225090,The House On Tradd Street,Karen   White,2008
0062280678,Dorothy Must Die,Danielle  Paige,2014
0553382616,The Shelters of Stone,Jean M. Auel,2002
0060887370,Perfect,Sara Shepard,2007
0385733410,Rebel Angels,Libba Bray,2005
0312986343,Visions of Sugar Plums,Janet Evanovich,2002
0062331159,The Bees,Laline Paull,2014
0679732268,Light in August,William Faulkner,1932
1595141987,Blood Promise,Richelle Mead,2009
1892295490,Heart of Darkness,Joseph Conrad,1899
0451209435,Fear of Flying,Erica Jong,1973
0345454944,Sunset Express,Robert Crais,1996
0060548258,The Crystal Cave,Mary  Stewart,1970
0575079797,The Blade Itself,Joe Abercrombie,2006
0394298667,Red Storm Rising,Tom Clancy,1986
031236847X,Sweetheart,Chelsea Cain,2008
0557364639,My Blood Approves,Amanda Hocking,2010
0141311371,The BFG,"Roald Dahl, Quentin Blake",1982
0312954468,River God,Wilbur Smith,1993
0688114490,Owen,Kevin Henkes,1993
0515144592,The Hollow,Nora Roberts,2008
1455521213,The Hit,David Baldacci,2013
0399154701,Strangers in Death ,J.D. Robb,2008
0991686004,Ten Tiny Breaths,K.A. Tucker,2012
1416960597,Living Dead Girl,Elizabeth Scott,2008
1587672286,Blockade Billy,Stephen King,2010
0743290119,Chasing Harry Winston,Lauren Weisberger,2008
0976165910,MEG: A Novel of Deep Terror,Steve Alten,1997
0330376152,The Fog,James Herbert,1975
0061240273,Belong to Me,Marisa de los Santos,2008
0689860072,Dragonsinger,Anne McCaffrey,1977
0767912276,To Have and to Hold ,Jane Green,2002
0373777922,The Best Man,Kristan Higgins,2013
0307595129,Maine,J. Courtney Sullivan,2011
0316018953,The Overlook,Michael Connelly,2007
0767912241,Babyville,Jane Green,2001
0380817934,Olympos,Dan Simmons,2005
0978970764,John Dies at the End,David Wong,2007
0380712040,Black Cherry Blues,James Lee Burke,1989
0758216424,Succubus On Top,Richelle Mead,2008
0312360401,Honolulu,Alan Brennert,2009
0142401757,Dreamland ,Sarah Dessen,2000
0345505719,Victims,Jonathan Kellerman,2012
0316084220,A Midsummer's Nightmare,Kody Keplinger,2012
0099578514,Midnight's Children,Salman Rushdie,1981
1250091845,Stars Above,Marissa Meyer,2016
0441020429,Magic Slays,Ilona Andrews,2011
1423140591,The Son of Neptune ,Rick Riordan,2011
055358359X,Prior Bad Acts,Tami Hoag,2006
0425190447,All Tomorrow's Parties,William Gibson,1999
0345484274,Angel Falls,Kristin Hannah,2000
0451933028,The Green Mile,Stephen King,1996
0062220969,Asylum,Madeleine Roux,2013
0553248642,The Haj,Leon Uris,1984
0446195502,Divine Justice,David Baldacci,2008
0641645473,Sea of Silver Light,Tad Williams,2001
0061020001,The Awakening,L.J. Smith,1991
0812517725,The Great Hunt,Robert Jordan,1990
0142408786,Double Fudge,Judy Blume,2002
1400068320,Eligible,Curtis Sittenfeld,2016
0763619612,The Dot,Peter H. Reynolds,2003
0751530492,Unnatural Exposure,Patricia Cornwell,1997
0316012823,One Good Turn,Kate Atkinson,2006
0451219945,Glass Houses,Rachel Caine,2006
0844662925,The Johnstown Flood,David McCullough,1968
1250022088,The Nature of the Beast,Louise Penny,2015
0553282093,The Gemini Contenders,Robert Ludlum,1976
0440212812,Lost Souls,Poppy Z. Brite,1992
0743454537,My Sister's Keeper,Jodi Picoult,2004
0142000205,Icy Sparks,Gwyn Hyman Rubio,1998
0590396439,Street Magic,Tamora Pierce,2001
0307588920,Think of a Number,John Verdon,2010
1101875100,M Train,Patti Smith,2015
0375701907,Straight Man,Richard Russo,1997
074326195X,"Cry, The Beloved Country",Alan Paton,1948
0553277405,Night Probe!,Clive Cussler,1981
0756409608,Broken Homes,Ben Aaronovitch,2013
0373210582,Alice in Zombieland,Gena Showalter,2012
0670018708,City of Thieves,David Benioff,2008
006083577X,The King of Attolia,Megan Whalen Turner,2006
